listing_id,title,monthly_rent_eur,deposit_eur,district,room_type,size_sqm,furnished_raw,is_furnished,distance_to_vilnius_tech_km,source_name,listing_url,collected_at,updated_at,notes
vr_0021,"2 rooms flat for rent - Vilnius, Antakalnis, Antakalnio g.",600,,Antakalnis,2_rooms,50,"furnished",True,2.3,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-antakalnio-g-nuomojamas-kambariu-butas-antakalnio-g-4-1467071/?search_pos=4,2026-04-04,2026-04-03,
vr_0022,"2 rooms flat for rent - Vilnius, Antakalnis, Švyturio g.",690,1380,Antakalnis,2_rooms,46,"furnished",True,2.9,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-svyturio-g-nuomojamas-k-butas-po-kapitalinio-remonto-4-1096363/?search_pos=5,2026-04-04,2026-03-31,
vr_0023,"1 room flat for rent - Vilnius, Antakalnis, Žolyno g.",350,,Antakalnis,1_room,18,"furnished",True,3.1,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-zolyno-g-nuomojamas-tvarkingas-sviesus-kambario-4-1467131/?search_pos=3,2026-04-04,2026-04-01,
vr_0024,"2 rooms flat for rent - Vilnius, Žirmūnai, Žirmūnų g.",500,,Žirmūnai,2_rooms,46,"furnished",True,4.3,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-nuomojamas-tvarkingas-ir-sviesus-dvieju-4-1467345/?search_pos=5,2026-04-04,2026-04-03,
vr_0025,"1 room flat for rent - Vilnius, Žirmūnai, Žirmūnų g.",430,860,Žirmūnai,1_room,20,"furnished",True,4.4,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-lt-en-below-nuomojamas-4-1459575/?search_pos=6,2026-04-04,2026-04-02,
vr_0026,"2 rooms flat for rent - Vilnius, Šnipiškės, Laumėnų g.",690,1380,Šnipiškės,2_rooms,43.5,"not furnished",False,6.7,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-laumenu-g-butus-galima-issinuomoti-tik-is-lumi-namai-4-1462571/?search_pos=1,2026-04-04,2026-03-31,
vr_0027,"1 room flat for rent - Vilnius, Naujamiestis, Algirdo g.",410,820,Naujamiestis,1_room,18,"furnished",True,10.6,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-algirdo-g-nuomojamas-naujai-irengtas-kambario-butas-4-1367145/?search_pos=2,2026-04-04,2026-04-02,
vr_0028,"3 rooms flat for rent - Vilnius, Šnipiškės, Rinktinės g.",550,,Šnipiškės,3_rooms,64,"furnished",True,6.5,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-rinktines-g-iki-katedros-aikstes-min-pesciomis-4-1391678/?search_pos=3,2026-04-04,2026-04-03,
vr_0029,"1 room flat for rent - Vilnius, Naujamiestis, Kauno g.",590,,Naujamiestis,1_room,25,"furnished",True,11.5,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-kauno-g-kvieciame-rezervuoti-apartamentus-nuomai-4-1312032/?search_pos=7,2026-04-04,2026-03-24,
vr_0030,"1 room flat for rent - Vilnius, Naujamiestis, Skroblų g.",330,,Naujamiestis,1_room,15,"furnished",True,12.9,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-skroblu-g-nuomojamas-jaukus-tvarkingas-kambario-4-1466231/?search_pos=8,2026-04-04,2026-04-04,
vr_0031,"2 rooms flat for rent - Vilnius, Naujamiestis, Naugarduko g.",670,,Naujamiestis,2_rooms,44.49,"furnished",True,10.4,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-naugarduko-g-nuomojamas-naujai-ir-kokybiskai-irengtas-4-1466913/?search_pos=9,2026-04-04,2026-03-31,
vr_0032,"1 room flat for rent - Vilnius, Žvėrynas, Studentų g.",500,,Žvėrynas,1_room,18,"furnished",True,7.8,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-zveryne-studentu-g-patogumas-stilius-ir-gera-vieta-viskas-4-1213188/?search_pos=15,2026-04-04,2026-04-03,
vr_0033,"1 room flat for rent - Vilnius, Žvėrynas, Studentų g.",400,600,Žvėrynas,1_room,18,"furnished",True,8.2,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-zveryne-studentu-g-skambinti-pirmi-men-eur-4-1202966/?search_pos=20,2026-04-04,2026-04-02,
vr_0034,"1 room flat for rent - Vilnius, Šnipiškės, Herkaus Manto g.",300,,Šnipiškės,1_room,11,"furnished",True,5.7,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-herkaus-manto-g-renovuotame-name-jusu-laukia-su-meile-pilnai-4-1204900/?search_pos=22,2026-04-04,2026-03-31,
vr_0035,"2 rooms flat for rent - Vilnius, Naujamiestis, Muitinės g.",630,,Naujamiestis,2_rooms,28,"furnished",True,10.3,Aruodas,https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-muitines-g-nuomojamas-moderniai-bei-kokybiskai-irengtas-4-1466827/?search_pos=23,2026-04-04,2026-04-02,
